p1_hp_pct,p1_alive,p2_hp_pct,p2_alive,p1_won
0.1925,1,0.4559,3,0
0.0173,1,0.4042,3,0
0.0,0,0.3631,2,0
0.9244,6,0.9259,6,0
0.8489,6,0.8518,6,0
0.8489,6,0.8189,6,0
0.8432,5,0.7541,6,0
0.7629,5,0.6811,5,0
0.7034,5,0.6422,4,0
0.6843,4,0.5664,4,0
0.6201,4,0.4824,3,0
0.545,3,0.3814,3,0
0.545,3,0.3408,3,0
0.4275,3,0.2442,3,0
0.4255,2,0.225,3,0
0.3711,2,0.225,3,0
0.3711,2,0.225,3,0
0.1998,2,0.2036,3,0
0.0393,1,0.1822,3,0
0.0,0,0.1389,3,0
0.9408,6,1.0,6,1
0.873,6,0.9402,6,1
0.8499,5,0.8513,5,1
0.721,5,0.7328,5,1
0.6625,4,0.6789,4,1
0.5872,4,0.4639,3,1
0.5318,4,0.4639,3,1
0.4763,4,0.3732,3,1
0.4539,4,0.3389,2,1
0.4184,3,0.2459,2,1
0.3879,3,0.202,1,1
0.3481,3,0.0178,1,1
0.3481,3,0.0,0,1
0.936,6,0.8498,5,1
0.8529,5,0.7594,5,1
0.6295,5,0.7126,5,1
0.5347,4,0.6658,5,1
0.4404,4,0.6138,4,1
0.3695,4,0.5286,4,1
0.3695,4,0.4142,4,1
0.368,3,0.3849,3,1
0.2678,3,0.2978,3,1
0.2551,2,0.2939,2,1
0.1373,1,0.1502,1,1
0.0513,1,0.0416,1,1
0.0513,1,0.0,0,1
0.9531,6,0.8369,6,1
0.8944,6,0.8198,5,1
0.8321,6,0.725,5,1
0.8216,5,0.6302,5,1
0.7957,5,0.6296,4,1
0.7173,5,0.5417,4,1
0.6975,4,0.4899,3,1
0.6537,4,0.4083,3,1
0.6204,4,0.3616,2,1
0.5302,3,0.2212,2,1
0.4735,3,0.2155,1,1
0.3716,2,0.1694,1,1
0.2284,2,0.0866,1,1
0.1488,1,0.0038,1,1
0.0204,1,0.0,0,1
0.8824,6,0.9329,6,0
0.8501,6,0.9329,6,0
0.8031,6,0.8681,6,0
0.7547,6,0.8375,5,0
0.7137,5,0.7494,5,0
0.6492,4,0.6835,5,0
0.5007,3,0.6439,4,0
0.4288,3,0.497,3,0
0.3085,3,0.3747,3,0
0.2836,2,0.3585,2,0
0.1888,2,0.2866,2,0
0.1418,1,0.2284,1,0
0.0101,1,0.1739,1,0
0.0,0,0.1739,1,0
0.9601,6,0.8653,5,1
0.9,6,0.8001,5,1
0.8791,6,0.7433,4,1
0.8481,6,0.6086,3,1
0.7589,6,0.6086,3,1
0.7082,5,0.5434,3,1
0.6696,5,0.4355,2,1
0.6304,5,0.1948,2,1
0.619,4,0.1539,1,1
0.4905,3,0.0658,1,1
0.4905,3,0.0,0,1
0.9218,6,0.977,6,0
0.8437,6,0.954,6,0
0.811,5,0.8672,6,0
0.6447,5,0.8014,5,0
0.5732,4,0.7554,5,0
0.4523,4,0.7088,5,0
0.4523,4,0.6252,5,0
0.4451,3,0.5811,5,0
0.3963,3,0.5485,4,0
0.296,3,0.4808,3,0
0.2949,2,0.3806,3,0
0.2433,2,0.3269,2,0
0.1391,1,0.2573,2,0
0.0,0,0.1877,2,0
0.9168,6,0.8769,6,0
0.8905,6,0.8675,5,0
0.8341,5,0.7224,4,0
0.7595,5,0.7224,4,0
0.6744,4,0.6677,4,0
0.5073,4,0.603,4,0
0.4963,3,0.5383,4,0
0.399,3,0.5333,3,0
0.3611,2,0.4868,3,0
0.3201,2,0.4403,3,0
0.2791,2,0.3938,3,0
0.2381,2,0.3474,3,0
0.2087,2,0.3304,2,0
0.183,1,0.2255,2,0
0.0575,1,0.1514,1,0
0.0,0,0.0905,1,0
0.9647,6,0.8265,5,1
0.9367,6,0.6821,4,1
0.9367,6,0.6194,4,1
0.8788,6,0.5139,4,1
0.8313,5,0.5033,3,1
0.7479,5,0.4044,3,1
0.6742,5,0.3839,2,1
0.6602,4,0.3476,2,1
0.5847,4,0.2606,2,1
0.5091,4,0.1735,2,1
0.4647,3,0.1656,1,1
0.3386,3,0.0066,1,1
0.3386,3,0.0,0,1
0.8952,6,0.9074,6,0
0.7924,5,0.8345,5,0
0.6559,4,0.7952,5,0
0.4806,3,0.7274,5,0
0.4806,3,0.6487,5,0
0.3247,2,0.5787,5,0
0.1818,1,0.5481,5,0
0.1294,1,0.5445,4,0
0.0071,1,0.4541,3,0
0.0,0,0.4541,3,0
0.8291,5,1.0,6,0
0.6912,4,0.9592,6,0
0.6258,4,0.9184,6,0
0.5604,4,0.8776,6,0
0.5,3,0.8289,5,0
0.3405,2,0.7862,5,0
0.3037,2,0.7546,5,0
0.2668,2,0.7229,5,0
0.23,2,0.6912,5,0
0.1931,2,0.6596,5,0
0.1785,1,0.6577,4,0
0.0152,1,0.5914,4,0
0.0,0,0.5914,4,0
0.8038,5,0.966,6,0
0.7225,5,0.823,6,0
0.6443,4,0.8014,5,0
0.5275,4,0.7345,5,0
0.4847,3,0.6677,5,0
0.4071,3,0.6399,4,0
0.3839,3,0.6399,4,0
0.3606,3,0.5309,4,0
0.3215,3,0.5155,3,0
0.2763,3,0.4356,3,0
0.2311,3,0.3558,3,0
0.2292,2,0.3478,2,0
0.1656,1,0.2958,2,0
0.1051,1,0.2166,2,0
0.0715,1,0.1863,1,0
0.0,0,0.1399,1,0
0.9088,6,0.9155,6,0
0.8473,5,0.874,6,0
0.7725,5,0.7307,5,0
0.7129,4,0.6635,5,0
0.5541,3,0.612,5,0
0.4945,3,0.5845,4,0
0.4082,3,0.5364,4,0
0.3589,2,0.4692,4,0
0.2555,2,0.4166,4,0
0.1892,2,0.416,3,0
0.177,1,0.2811,2,0
0.177,1,0.2402,2,0
0.1204,1,0.1993,2,0
0.0639,1,0.1585,2,0
0.0438,1,0.1461,1,0
0.0,0,0.0812,1,0
0.9516,6,0.9102,6,0
0.9032,6,0.8604,5,0
0.8401,6,0.7839,5,0
0.8011,5,0.7092,4,0
0.6779,4,0.6489,4,0
0.6144,4,0.6182,4,0
0.6144,4,0.6182,4,0
0.5222,4,0.5545,4,0
0.5222,4,0.4861,4,0
0.4761,4,0.394,4,0
0.4574,3,0.3917,3,0
0.3938,3,0.361,3,0
0.3938,3,0.3494,3,0
0.3687,2,0.3314,3,0
0.2707,2,0.299,3,0
0.1989,1,0.2665,3,0
0.0455,1,0.237,3,0
0.0,0,0.237,3,0
0.9645,6,0.8604,6,1
0.8584,5,0.8604,6,1
0.8229,5,0.8165,5,1
0.7596,5,0.655,4,1
0.7495,4,0.4678,4,1
0.6876,4,0.4423,3,1
0.6233,4,0.3377,2,1
0.5888,4,0.2471,2,1
0.5542,4,0.1564,2,1
0.5283,3,0.1469,1,1
0.5048,3,0.0234,1,1
0.4813,3,0.0,0,1
0.8724,6,0.9081,6,1
0.8058,5,0.8217,5,1
0.7534,5,0.6311,4,1
0.6321,5,0.4222,3,1
0.623,4,0.3529,3,1
0.6036,4,0.2623,2,1
0.508,4,0.204,2,1
0.4459,3,0.1458,2,1
0.3269,3,0.1336,2,1
0.3144,2,0.133,1,1
0.262,2,0.0055,1,1
0.262,2,0.0,0,1
0.905,6,0.853,5,1
0.87,5,0.7549,5,1
0.7898,5,0.7061,4,1
0.7031,4,0.4866,4,1
0.6318,4,0.4616,3,1
0.5724,4,0.3244,3,1
0.5243,3,0.3024,2,1
0.4228,3,0.2366,2,1
0.3213,3,0.1707,2,1
0.304,2,0.1494,1,1
0.1924,2,0.1494,1,1
0.1924,2,0.0,0,1
0.9692,6,0.8424,6,0
0.9292,6,0.8356,5,0
0.831,5,0.6828,5,0
0.7689,5,0.6644,4,0
0.6969,4,0.6016,4,0
0.597,4,0.5,3,0
0.4768,4,0.5,3,0
0.4338,3,0.412,3,0
0.3566,3,0.3492,2,0
0.3415,2,0.1869,2,0
0.295,2,0.178,1,0
0.169,1,0.0914,1,0
0.0,0,0.0048,1,0
1.0,6,0.9311,6,1
0.9737,6,0.8456,5,1
0.9444,6,0.6979,4,1
0.8559,5,0.5729,4,1
0.8056,5,0.5501,3,1
0.7297,5,0.5053,3,1
0.7237,4,0.4606,3,1
0.6842,4,0.4606,3,1
0.5969,4,0.3957,2,1
0.5197,3,0.2955,2,1
0.4444,3,0.2146,1,1
0.4127,3,0.0809,1,1
0.4127,3,0.0,0,1
0.9699,6,1.0,6,1
0.894,5,0.8658,5,1
0.8022,5,0.8658,5,1
0.7104,5,0.7973,5,1
0.6825,4,0.7288,5,1
0.616,4,0.6759,4,1
0.5343,3,0.6114,4,1
0.471,3,0.5084,3,1
0.4167,3,0.353,3,1
0.3755,3,0.3185,2,1
0.3544,2,0.1398,1,1
0.3259,2,0.0702,1,1
0.2991,2,0.0702,1,1
0.2679,2,0.0089,1,1
0.2679,2,0.0,0,1
0.9518,6,1.0,6,1
0.7901,5,0.8508,6,1
0.7274,5,0.8423,5,1
0.6516,4,0.8024,5,1
0.6516,4,0.663,5,1
0.6134,4,0.6512,4,1
0.4937,4,0.6512,4,1
0.4524,3,0.5334,3,1
0.3872,3,0.5334,3,1
0.3221,3,0.3495,2,1
0.2713,3,0.2048,1,1
0.2638,2,0.0995,1,1
0.2638,2,0.0,0,1
0.9332,6,0.8443,5,0
0.8647,5,0.7861,5,0
0.8082,5,0.7099,4,0
0.7517,5,0.6531,4,0
0.6952,5,0.5963,4,0
0.6387,5,0.5394,4,0
0.6244,4,0.4953,3,0
0.5268,4,0.385,3,0
0.464,3,0.3676,2,0
0.371,3,0.3202,2,0
0.2922,2,0.2727,2,0
0.1604,1,0.2226,2,0
0.0,0,0.2226,2,0
0.8807,6,0.9577,6,1
0.8593,5,0.8955,6,1
0.7672,5,0.8327,6,1
0.7218,5,0.8004,5,1
0.677,4,0.6797,5,1
0.4877,4,0.6567,4,1
0.4559,3,0.482,3,1
0.3949,3,0.306,3,1
0.3502,3,0.2998,2,1
0.2866,2,0.2027,2,1
0.238,2,0.1374,1,1
0.238,2,0.0,0,1
0.9229,6,0.9515,6,0
0.8629,5,0.903,6,0
0.8199,5,0.8623,6,0
0.781,5,0.8473,5,0
0.678,4,0.7611,5,0
0.5696,4,0.6371,4,0
0.5,3,0.5317,4,0
0.4645,3,0.4808,3,0
0.4004,3,0.4126,3,0
0.3424,2,0.3443,3,0
0.178,1,0.3186,2,0
0.0546,1,0.2605,2,0
0.0,0,0.2605,2,0
0.8725,6,0.8803,5,0
0.8509,5,0.8174,5,0
0.7617,5,0.7486,5,0
0.7066,4,0.7124,5,0
0.6007,3,0.6414,4,0
0.5551,3,0.546,4,0
0.5096,3,0.4507,4,0
0.4779,3,0.4187,3,0
0.4382,3,0.3619,3,0
0.4372,2,0.3337,3,0
0.3826,2,0.3055,3,0
0.3279,2,0.2774,3,0
0.3121,1,0.2562,3,0
0.1246,1,0.2557,2,0
0.0,0,0.2557,2,0
0.9531,6,0.9473,6,1
0.9062,6,0.8947,6,1
0.8479,5,0.8625,5,1
0.7956,5,0.7729,5,1
0.7433,5,0.6908,4,1
0.6327,4,0.6204,4,1
0.5349,4,0.5144,4,1
0.4578,3,0.485,3,1
